u_x,u_y,u_z
-0.017349706093478072,-0.006377458116617604,-0.007637125331027978
-0.017337355262346844,-0.006413834330477886,-0.007634712645687018
-0.01732492741677901,-0.006450225496791188,-0.007632265487561238
-0.01731242342799462,-0.006486631169567824,-0.007629784175300349
-0.017299842401511844,-0.006523053258122797,-0.007627268484234493
-0.017287183419495922,-0.006559493695742007,-0.007624718181532277
-0.017274445544034955,-0.006595954424027534,-0.007622133026325225
-0.01726162781677713,-0.006632437393360534,-0.007619512769592335
-0.017248729258552264,-0.00666894456338209,-0.00761685715403759
-0.017235748868973704,-0.006705477903499621,-0.007614165913961933
-0.017222685626016216,-0.006742039393431117,-0.00761143877512798
-0.017209538485561518,-0.006778631023809125,-0.0076086754546158064
-0.017196306380897447,-0.006815254796882073,-0.007605875660666909
-0.01718298822214397,-0.00685191272738619,-0.007603039092510168
-0.017169582895549422,-0.006888606843740086,-0.007600165440159868
-0.017156089262537897,-0.0069253391898903005,-0.0075972543841590755
-0.017142506158204805,-0.0069621118286386915,-0.007594305595208688
-0.017128832814390118,-0.006998925856727191,-0.007591318833360344
-0.01711506725723009,-0.007035785091475672,-0.007588293569066285
-0.01710120860696426,-0.007072690825831529,-0.007585229530398426
-0.017087255596321932,-0.007109645180243739,-0.007582126348513752
-0.01707320629838911,-0.0071466517603342725,-0.007578983494935017
-0.017059060361050624,-0.00718371054102992,-0.007575800814066063
-0.017044815498239285,-0.007220825942593147,-0.007572577690049692
-0.017030463273114936,-0.007258018290717221,-0.007569312172199906
-0.016941909556396652,-0.007482350384840451,-0.00754957824523246
-0.016822331848219466,-0.007774140078167131,-0.00752209364288619
-0.016698575259627802,-0.008063954836870921,-0.007492677240522163
-0.01657067051663283,-0.008351725972894816,-0.007461336840652234
-0.01643865138938948,-0.00863738085609731,-0.007428081234771714
-0.01630255014424707,-0.008920852185398035,-0.007392919025300713
-0.016162404061326838,-0.00920206549622892,-0.007355860375354226
-0.016018248173616915,-0.009480953292764249,-0.007316915075002505
-0.015870119476706725,-0.009757446644604165,-0.007276093646374933
-0.0157180559002208,-0.010031477291944703,-0.007233407077374712
-0.015562096312926911,-0.01030297762689142,-0.007188866822204797
-0.01540228051631835,-0.010571880701134915,-0.007142484799115459
-0.015238649237232801,-0.010838120235896986,-0.007094273387921178
-0.0150712441181194,-0.011101630636461877,-0.007044245426883005
-0.014900107677646492,-0.011362347062221377,-0.006992414201460169
-0.01472528342727917,-0.011620205201494602,-0.006938793475532982
-0.01454681565352055,-0.011875141679264777,-0.0068833974315806856
-0.014364749559504598,-0.012127093781546788,-0.006826240708460456
-0.014179131210456065,-0.012375999553286356,-0.006767338385956996
-0.013990007522571785,-0.012621797812456858,-0.006706705981024344
-0.013797426251567064,-0.012864428164260956,-0.006644359443893413
-0.013601435980961214,-0.013103831015285285,-0.006580315154062832
-0.01340208610930913,-0.013339947588571011,-0.0065145899159184915
-0.013199426841964105,-0.013572719932440379,-0.006447200955762354
-0.012993509171697778,-0.01380209094359832,-0.006378165915284317
-0.012784384871888882,-0.014028004372738042,-0.0063075028489379525
-0.012572106481947247,-0.014250404840524016,-0.006235230218869924
-0.012356727294394897,-0.014469237850714238,-0.006161366890322947
-0.01213830134171325,-0.014684449803161668,-0.006085932126932869
-0.01191688338333977,-0.014895988006146853,-0.006008945586039759
-0.011692528891743206,-0.015103800689540356,-0.005930427313680425
-0.011465294039126437,-0.01530783701662668,-0.005850397739745371
-0.011235235683512685,-0.015508047096331854,-0.00576887767291473
-0.011002411354761715,-0.015704381995089115,-0.005685888295544209
-0.010766879240424273,-0.015896793748475132,-0.00560145115847386
-0.010528698171419012,-0.016085235372628456,-0.0055155881757560435
-0.010287927607563255,-0.01626966087542267,-0.0054283216193161165
-0.010044627622915796,-0.01645002526742691,-0.005339674113530641
-0.009798858891006278,-0.016626284572594092,-0.005249668629754376
