time,CBF_velocity,CBF_position,HOBF_position,position_constraint,velocity_constraint,ux,uy,uz,state_history
0.0,1.0408340855860843e-17,9.309999999999953,-0.06941048504921185,0.20228655873674536,0.0016077864609324297,-0.019185898455298937,-0.005456898806409661,-0.0014606465851848085,4.0
0.1,0.00015679654783086472,9.285487970806862,-0.04891235401836802,0.2041360532390141,0.0015463934598465188,-0.01917528729346352,-0.005494200314313123,-0.0014601763783621555,4.0
0.2,0.00030670739849878934,9.263076768372699,-0.028332758902344546,0.20596964499528875,0.0014846607726123943,-0.019164589810883707,-0.005531525121175471,-0.0014596993410202295,4.0
0.30000000000000004,0.00044973299064504993,9.242770233821581,-0.007673695471499736,0.20778721702336472,0.0014225881621815803,-0.019153808035382826,-0.005568870850151915,-0.0014592155997311801,4.0
0.4,0.0005858737362009377,9.224572001139222,0.013062838779723113,0.20958862327397432,0.001360176525458292,-0.019142941120030392,-0.005606239498750326,-0.0014587251093356169,4.0
0.5,0.0007151301345342184,9.20848549727041,0.033874841749587686,0.21137371768873295,0.0012974267681284497,-0.019131988196461638,-0.0056436330739933925,-0.0014582278231103382,4.0
0.6000000000000001,0.0008375027728886215,9.194513942073804,0.05476030675130561,0.21314235420132502,0.0012343398049895799,-0.019120948374514973,-0.005681053592913171,-0.0014577236927455104,4.0
0.7000000000000001,0.0009529923268540609,9.18266034827817,0.07571722253514473,0.21489438673780525,0.0011709165602917196,-0.019109820741851555,-0.0057185030830691356,-0.0014572126683207779,4.0
0.8,0.001061599560868487,9.172927521441672,0.09674357331064469,0.21662966921755075,0.0011071579680922902,-0.019098604363552738,-0.005755983583103207,-0.0014566946982800017,4.0
0.9,0.001163325328752754,9.165318059913368,0.11783733876868199,0.21834805555396364,0.0010430649726299545,-0.01908729828168993,-0.00579349714334857,-0.0014561697294044914,4.0
1.0,0.0012581705742801055,9.159834354797184,0.13899649410358025,0.22004939965531634,0.0009786385287259918,-0.019075901514856334,-0.005831045826525541,-0.0014556377067840448,4.0
1.1,0.0013461363317829114,9.156478589917214,0.16021901003518374,0.22173355542494888,0.000913879602231485,-0.019064413057640835,-0.005868631708588064,-0.001455098573785126,4.0
1.2000000000000002,0.001427223726801024,9.15525274178669,0.18150285283080586,0.22340037676161895,0.0008487891705502354,-0.019052831880007053,-0.005906256879840338,-0.0014545522720143286,4.0
1.3,0.0015014339767791957,9.156158579577358,0.20284598432713624,0.22504971755857617,0.0007833682233092413,-0.019041156926496765,-0.005943923446586548,-0.0014539987412736039,4.0
1.4000000000000001,0.0015687683918278808,9.159197665094503,0.2242463619520318,0.2266814342914308,0.0007176175349300746,-0.01902938745233317,-0.005981632680563897,-0.0014534379367796026,4.0
1.5,0.001629228352711374,9.164371352761648,0.24570193900150017,0.2282953759270436,0.000651538531037742,-0.019017521726589073,-0.006019388258514424,-0.0014528697623650056,4.0
1.6,0.0016828153756932723,9.171680789588414,0.2672106639189626,0.22989139876860754,0.0005851320432277261,-0.019005558917609567,-0.006057191598052821,-0.0014522941679754266,4.0
1.7000000000000002,0.0017295310523719291,9.181126915136645,0.2887704810443968,0.23146935671985192,0.0005183991105165635,-0.018993497867167457,-0.00609504486212582,-0.0014517110860436616,4.0
1.8,0.0017693770700714859,9.192710461513968,0.3103793303978969,0.23302910368034135,0.00045134078676653126,-0.018981337388248403,-0.006132950234818997,-0.001451120446991343,4.0
1.9000000000000001,0.0018023552128457847,9.20643195335861,0.332035147701025,0.23457048967987226,0.0003839585172142876,-0.018969075726497225,-0.006170911323405278,-0.0014505221518469722,4.0
2.0,0.001828467400161033,9.222291707805368,0.3537358640168894,0.2360933753338879,0.0003162527774297553,-0.018956712535501036,-0.006208928082613284,-0.0014499161732175552,4.0
2.1,0.0018477155891549503,9.24028983448936,0.37547940681790626,0.2375976102975997,0.000248225087927451,-0.018944245943754694,-0.006247004335331688,-0.0014493024052243412,4.0
2.2,0.00186010187903618,9.260426235548117,0.3972636989228598,0.23908304000951888,0.00017987770032334388,-0.018931673234625527,-0.006285146633039265,-0.0014486807032963798,4.0
2.3000000000000003,0.0018656285834440893,9.282700605551199,0.4190866581092825,0.240498716546779,0.00011785675500005159,-0.018910631904168817,-0.006348409062546854,-0.001447652779123082,4.0
2.4000000000000004,0.001864962613457706,9.307112180892247,0.44094121614446935,0.24139461955695116,0.00011783343032244808,-0.01880860365045001,-0.0066456812203102055,-0.001442686717166233,4.0
2.5,0.0018643346090999324,9.333657273886516,0.4627761591628585,0.24223550531410265,0.00011783235042972648,-0.018701905616930952,-0.0069413787140872015,-0.0014373527303051072,4.0
2.6,0.001863746389853961,9.362329392236774,0.4845860821590947,0.24302134194312022,0.00011783199844660544,-0.018590591978639083,-0.0072353474769369,-0.0014316535209576067,4.0
2.7,0.0018631976050383393,9.393121517835482,0.5063656036306035,0.24375194722881535,0.00011783181837810949,-0.018474691589686582,-0.007527513338969431,-0.0014255906260589757,4.0
2.8000000000000003,0.0018626878408512342,9.42602610941865,0.5281093507378782,0.24442715287064193,0.00011783142637645133,-0.018354234346462193,-0.00781780330669652,-0.0014191656748845161,4.0
2.9000000000000004,0.0018622166379303716,9.461035104542582,0.5498119606558056,0.24504678525694637,0.00011783182375436072,-0.018229248839399928,-0.008106149827089789,-0.001412380252553813,4.0
3.0,0.0018617836302735648,9.498139921598039,0.5714680800125939,0.24561071503444726,0.00011783169798237829,-0.018099768733597792,-0.008392477509294418,-0.0014052362559222279,4.0
