u_x,u_y,u_z
-0.019185898455298937,-0.005456898806409661,-0.0014606465851848085
-0.01917528729346352,-0.005494200314313123,-0.0014601763783621555
-0.019164589810883707,-0.005531525121175471,-0.0014596993410202295
-0.019153808035382826,-0.005568870850151915,-0.0014592155997311801
-0.019142941120030392,-0.005606239498750326,-0.0014587251093356169
-0.019131988196461638,-0.0056436330739933925,-0.0014582278231103382
-0.019120948374514973,-0.005681053592913171,-0.0014577236927455104
-0.019109820741851555,-0.0057185030830691356,-0.0014572126683207779
-0.019098604363552738,-0.005755983583103207,-0.0014566946982800017
-0.01908729828168993,-0.00579349714334857,-0.0014561697294044914
-0.019075901514856334,-0.005831045826525541,-0.0014556377067840448
-0.019064413057640835,-0.005868631708588064,-0.001455098573785126
-0.019052831880007053,-0.005906256879840338,-0.0014545522720143286
-0.019041156926496765,-0.005943923446586548,-0.0014539987412736039
-0.01902938745233317,-0.005981632680563897,-0.0014534379367796026
-0.019017521726589073,-0.006019388258514424,-0.0014528697623650056
-0.019005558917609567,-0.006057191598052821,-0.0014522941679754266
-0.018993497867167457,-0.00609504486212582,-0.0014517110860436616
-0.018981337388248403,-0.006132950234818997,-0.001451120446991343
-0.018969075726497225,-0.006170911323405278,-0.0014505221518469722
-0.018956712535501036,-0.006208928082613284,-0.0014499161732175552
-0.018944245943754694,-0.006247004335331688,-0.0014493024052243412
-0.018931673234625527,-0.006285146633039265,-0.0014486807032963798
-0.018910631904168817,-0.006348409062546854,-0.001447652779123082
-0.01880860365045001,-0.0066456812203102055,-0.001442686717166233
-0.018701905616930952,-0.0069413787140872015,-0.0014373527303051072
-0.018590591978639083,-0.0072353474769369,-0.0014316535209576067
-0.018474691589686582,-0.007527513338969431,-0.0014255906260589757
-0.018354234346462193,-0.00781780330669652,-0.0014191656748845161
-0.018229248839399928,-0.008106149827089789,-0.001412380252553813
-0.018099768733597792,-0.008392477509294418,-0.0014052362559222279
-0.017965825635564443,-0.00867671829577523,-0.001397735498436913
-0.017827453192954954,-0.008958802484441017,-0.0013898799349712837
-0.01768468610780648,-0.009238660956325822,-0.0013816716082561944
-0.017537560134577808,-0.00951622517244122,-0.0013731126486787087
-0.01738611207951774,-0.009791427169713271,-0.0013642052741717665
-0.0172303797915083,-0.01006419957722433,-0.0013549517896486792
-0.017070402153902292,-0.010334475629722981,-0.001345354586486062
-0.016906219075464024,-0.010602189182666083,-0.0013354161419529798
-0.016737871455510315,-0.010867274779297657,-0.0013251390171748103
-0.016565401283510705,-0.0111296674426081,-0.0013145258626923954
-0.016388851452121232,-0.011389303053509965,-0.0013035794078310825
-0.016208265876036403,-0.011646118100113869,-0.001292302467315394
-0.01602368944534284,-0.011900049767796428,-0.001280697938554958
-0.015835168014949656,-0.012151035953801851,-0.0012687688009522086
-0.015642748393714122,-0.012399015281866106,-0.001256518115187309
-0.015446478333318605,-0.012643927116752576,-0.001243949022483203
-0.015246406516880537,-0.012885711578703173,-0.0012310647438497746
-0.01504258254688557,-0.013124309558129547,-0.0012178685792792532
-0.01483505693557461,-0.01335966272756638,-0.001204363907099886
-0.014623881088808454,-0.013591713560092013,-0.0011905541829011978
-0.01440910729716375,-0.013820405339120531,-0.0011764429389217403
-0.014190788722339684,-0.01404568217346166,-0.0011620337831337953
-0.013968979384464793,-0.014267489010751406,-0.0011473303983814706
-0.013743734149182115,-0.014485771650714106,-0.0011323365415012098
-0.013515108714526108,-0.014700476758238172,-0.0011170560424257517
-0.013283159597591137,-0.014911551876263508,-0.0011014928032718589
