u_x,u_y,u_z
-0.0007676389747046376,-0.0062743649629723435,-0.018975063069781428
-0.0007342544307046657,-0.006296539064493344,-0.018969039548989396
-0.0007008166802550404,-0.0063187295764104605,-0.018962924556628256
-0.0006673293808269452,-0.006340934435001304,-0.01895671958089475
-0.000633790636745809,-0.006363154761715481,-0.01895042390726295
-0.0006001985325270403,-0.006385391685124126,-0.018944036798134962
-0.0005665519860874675,-0.006407645808274125,-0.01893755771524945
-0.0005328475097164456,-0.006429919224820894,-0.01893098545958295
-0.0004990838637787879,-0.006452212628889521,-0.018924319424154692
-0.0004652590629840278,-0.0064745271703395635,-0.018917558777639284
-0.00043136999291857036,-0.006496864696985235,-0.018910702367381994
-0.0003974165072950362,-0.006519225208487889,-0.018903749834226997
-0.0003633954540167356,-0.0065416105642893555,-0.018896699975606952
-0.0003293040138757373,-0.0065640224269597714,-0.01888955170074221
-0.0002951273880798338,-0.006586470191499511,-0.018882301405047035
-0.00015950990563020582,-0.006674185387391882,-0.01885311126039415
9.380665733118254e-05,-0.006836584669924884,-0.018795273485392325
0.00034705923470566857,-0.006997491557652573,-0.018732983126384137
0.000600191023663539,-0.00715686890152831,-0.01866625279181241
0.0008531406024520827,-0.007314676993028505,-0.018595097466716504
0.0011058507140920808,-0.007470878948847133,-0.01851953185496212
0.0013582618340713397,-0.007625436831016921,-0.018439572503211682
0.001610311646095326,-0.007778311361099269,-0.018355238070544226
0.0018619426577864656,-0.00792946646607671,-0.018266546656608103
0.0021130956419140507,-0.00807886533558396,-0.018173518019927677
0.002363711504882023,-0.00822647155286619,-0.01807617296700687
0.002613731290188409,-0.008372249096745173,-0.0179745333499946
0.0028630961771758975,-0.0085161623408842,-0.017868622066328454
0.0031117474958138724,-0.008658176062906217,-0.01775846305349482
0.003359626739491549,-0.008798255452238316,-0.017644081284203028
0.0036066755785092077,-0.008936366118316252,-0.017525502761123416
0.0038528358740753266,-0.009072474099020724,-0.017402754511212277
0.004098049729042089,-0.00920654589074242,-0.01727586456592173
0.004342259345210381,-0.009338548364006398,-0.017144862013912403
0.0045854072906622535,-0.009468448921592617,-0.01700977689978055
0.0048274363299831155,-0.009596215397752812,-0.016870640285727864
0.00506828948951949,-0.009721816096644032,-0.016727484225637412
0.005307910071275521,-0.009845219800189126,-0.016580341757828056
0.005546241666782709,-0.009966395775831426,-0.016429246897566873
