x,y,z,vx,vy,vz
65.02928625741774,1.437513494305841,6.046827660350476,-0.10678510223249586,-0.06520122360595061,0.07457571925477997
65.01860440953625,1.4309631997808334,6.054190320139247,-0.10685187873581724,-0.0658046643007106,0.07267747633593281
65.00791604391728,1.4243524510818772,6.061363185698714,-0.10691545706520449,-0.0664103072050361,0.0707798346725922
64.99722148061932,1.417681027869912,6.068346317612956,-0.10697583239898524,-0.06701815468118871,0.0688828034353426
64.98652104016469,1.4109487095799162,6.0751397773756715,-0.10703300028162191,-0.067628208886105,0.06698639164594056
64.97581504353076,1.4041552754255173,6.081743627386303,-0.10708695606838542,-0.06824047208989384,0.06509060839758685
64.96510381216892,1.3973005043876348,6.088157930957305,-0.10713769492340007,-0.06885494667659135,0.06319546285723351
64.95438766801952,1.3903841752057151,6.094382752320514,-0.10718521190300347,-0.06947163509164227,0.06130096424565011
64.94366693353469,1.3834060663641348,6.1004181566358415,-0.10722950171521432,-0.0700905399910121,0.059407121903499706
64.93294193170196,1.3763659560781423,6.106264210000299,-0.10727055894457042,-0.07071166410128737,0.057513945232134496
64.9222129860603,1.3692636222845171,6.1119209794551885,-0.10730837797758508,-0.07133501026528521,0.055621443716030124
64.91148042072557,1.362098842626453,6.117388532996022,-0.10734295288986825,-0.07196058151190622,0.05372962695491842
64.90074456040678,1.354871394444189,6.122666939580081,-0.1073742777429602,-0.07258838087135583,0.0518385045844374
64.89000573042247,1.347581054765577,6.127756269134224,-0.10740234628377109,-0.07321841156115941,0.04994808636047224
64.87926425673062,1.3402276002883333,6.13265659256635,-0.10742715197791013,-0.07385067696654223,0.048058382147976336
64.8685204660166,1.3328108073245963,6.137367981788874,-0.1074486868118518,-0.0744851814138709,0.04616940217235166
64.8577751925209,1.3253301255580607,6.141890618925866,-0.10745680794070753,-0.07512845352633983,0.04428334044088486
64.84703036598259,1.3177843046064286,6.14622493904093,-0.10743974827399849,-0.07578796606164409,0.04240306173700393
64.83628850397888,1.3101717276056746,6.150371542700709,-0.10739751785269015,-0.07646357545425121,0.040529011338409394
64.82555212280059,1.302490792234201,6.1543310749365725,-0.10733013236430573,-0.07715513442094662,0.0386616332619204
64.81482373686437,1.2947399110974678,6.158104225106647,-0.10723761360395231,-0.07786249170356137,0.03680137002581055
64.80410585812285,1.2869175121114287,6.161691726747362,-0.10711998905698045,-0.07858549235016453,0.03494866267792066
64.79340099548433,1.2790220388772462,6.165094357417195,-0.10697729212489472,-0.07932397760828906,0.033103950611374645
64.78271165420719,1.271051951068116,6.168312938520641,-0.10680956240366098,-0.08007778478951999,0.0312676713533333
64.77204033530468,1.2630057248069015,6.1713483351244065,-0.10661684520046592,-0.08084674758869476,0.029440260620932922
64.76138953496509,1.2548818530315606,6.1742014557681175,-0.10639919170638024,-0.08163069600886169,0.027622152155393234
64.75076174396416,1.2466788458624232,6.176873252261485,-0.10615665898216996,-0.08242945639931651,0.02581377761721491
64.74015944707877,1.2383952309656543,6.179364719471008,-0.10588930994376974,-0.08324285149383848,0.02401556648161067
64.72958512250214,1.2300295539128976,6.181676895096213,-0.10559721334789154,-0.08407070044885645,0.022227945933971968
64.71904124126058,1.2215803785370565,6.183810859435475,-0.10528044377616201,-0.08491281888252997,0.020451340765859694
64.70853026663185,1.2130462872841277,6.185767735141458,-0.10493908161799056,-0.0857690189146186,0.018686173271477483
64.69805465356531,1.204425881561006,6.187548686966228,-0.10457321305209857,-0.08663910920717567,0.01693286314467125
64.68761684810393,1.1957177820791787,6.189154921496097,-0.10418293002665655,-0.08752289500608987,0.015191827376496238
64.67721928680864,1.1869206291941132,6.190587686876317,-0.10376833023435895,-0.08842017818563846,0.013463480154763093
64.66686439618442,1.1780330832406138,6.191848272525479,-0.10332951710177753,-0.08933075728460692,0.011748232758312717
64.65655459210878,1.1690538248637734,6.192938008839823,-0.10286659975199144,-0.09025442755822585,0.010046493461418423
64.64629227926304,1.1599815553452346,6.193858266887703,-0.1023796929842056,-0.0911909810200363,0.008358667432021119
64.63607985056619,1.1508149969250754,6.194610458093992,-0.10186891724685444,-0.09214020648760349,0.006685156632556961
64.62591968661131,1.141552893119079,6.195196033914609,-0.10133439860932503,-0.09310188962902301,0.005026359721509551
64.61581415510496,1.1321940090313185,6.195616485501237,-0.10077626873230572,-0.09407581301020879,0.003382671955710951
64.60576561030963,1.1227371316619708,6.195873343356316,-0.10019466483675311,-0.0950617561429563,0.001754485093420822
64.5957763924893,1.113181070210287,6.195968176978374,-0.09958972967148927,-0.09605949553376732,0.00014218729820656708
64.58584882735836,1.1035246563726444,6.195902594497804,-0.09896161147941314,-0.09706880473342723,-0.001453836956325181
64.57598522553398,1.093766744635603,6.195678242303129,-0.09831046396245342,-0.09808945438728785,-0.0030332069810671287
64.56618788199197,1.0839062125638934,6.195296804657887,-0.09763644624493092,-0.09912121228636472,-0.0045955459648524145
64.55645907552649,1.0739419610832674,6.1947600033081995,-0.09693972283580568,-0.10016384341904137,-0.006140481067185305
64.54680106821353,1.0638729147581372,6.194069597081119,-0.09622046358949667,-0.10121711002350987,-0.007667643509990215
64.53721610487835,1.0536980220639394,6.193227381473839,-0.0954788436653689,-0.10228077164089057,-0.009176668668417773
64.5277064125672,1.0434162556541533,6.19223518823389,-0.09471504348589972,-0.1033545851690147,-0.010667196160687087
64.518274200023,1.033026612621908,6.191094884930381,-0.09392924869352617,-0.10443830491685632,-0.012138869936939072
64.50892165716564,1.0225281147561156,6.18980837451642,-0.09312165010618918,-0.10553168265959495,-0.013591338367083318
